# generated from the tensat project
# ("Equality Saturation for Tensor Graph Superoptimization" by Yang, Phothilimthana, Wang, Willsey, Roy and Pienaar)
# network: bert
# node_limit: 50000
# iteration limit: 15
# multipatern iteration limit: 2
## root: 191
2081,0,Split([10; 2080]),10,2080
31785,0.5505920052528381,Matmul([0; 8729; 31799]),0,8729,31799
31785,0.5505920052528381,Matmul([0; 8807; 31801]),0,8807,31801
31785,0.5420160293579102,Matmul([0; 9023; 4214]),0,9023,4214
6194,0.7783359885215759,Matmul([0; 97; 6199]),0,97,6199
6194,0.000029000000722589903,Concat([10; 192; 543; 551]),10,192,543,551
6236,0,Split([10; 6235]),10,6235
40381,0.8015679717063904,Matmul([0; 97; 40385]),0,97,40385
40381,0.7773119807243347,Matmul([0; 473; 40387]),0,473,40387
40381,0.7639679908752441,Matmul([0; 8747; 7024]),0,8747,7024
11260,0.8015679717063904,Matmul([0; 74; 11262]),0,74,11262
11260,0.7773119807243347,Matmul([0; 463; 11264]),0,463,11264
11260,0.7639679908752441,Matmul([0; 8741; 6824]),0,8741,6824
11260,0.7639679908752441,Matmul([0; 8835; 6829]),0,8835,6829
9550,0.23977600038051605,Matmul([0; 28; 9552]),0,28,9552
9550,0.23161600530147552,Matmul([0; 443; 9554]),0,443,9554
9550,0.23161600530147552,Matmul([0; 8729; 8841]),0,8729,8841
9550,0.23161600530147552,Matmul([0; 8807; 8843]),0,8807,8843
9550,0.23161600530147552,Matmul([0; 9023; 487]),0,9023,487
9550,0.22566400468349457,Matmul([0; 9059; 151]),0,9059,151
8391,0,Split([10; 7094]),10,7094
27343,0.40112000703811646,Matmul([0; 51; 27347]),0,51,27347
27343,0.3935360014438629,Matmul([0; 453; 27349]),0,453,27349
27343,0.3887999951839447,Matmul([0; 8735; 2699]),0,8735,2699
29209,0.40112000703811646,Matmul([0; 74; 29213]),0,74,29213
29209,0.3935360014438629,Matmul([0; 463; 29215]),0,463,29215
29209,0.3887999951839447,Matmul([0; 8741; 3579]),0,8741,3579
27975,0.5625920295715332,Matmul([0; 28; 27979]),0,28,27979
27975,0.5505920052528381,Matmul([0; 443; 27983]),0,443,27983
27975,0.5505920052528381,Matmul([0; 8729; 27985]),0,8729,27985
27975,0.5420160293579102,Matmul([0; 8807; 3099]),0,8807,3099
6159,0.00002499999936844688,Concat([10; 192; 313; 563]),10,192,313,563
39841,0.8015679717063904,Matmul([0; 74; 39847]),0,74,39847
39841,0.7773119807243347,Matmul([0; 463; 39851]),0,463,39851
39841,0.7773119807243347,Matmul([0; 8741; 39853]),0,8741,39853
39841,0.7639679908752441,Matmul([0; 8835; 6924]),0,8835,6924
4484,0.00002700000004551839,Concat([10; 192; 495; 393]),10,192,495,393
10678,0.5625920295715332,Matmul([0; 51; 10680]),0,51,10680
10678,0.5505920052528381,Matmul([0; 453; 10682]),0,453,10682
10678,0.5505920052528381,Matmul([0; 8735; 10684]),0,8735,10684
10678,0.5420160293579102,Matmul([0; 8821; 4359]),0,8821,4359
10678,0.5420160293579102,Matmul([0; 9062; 4364]),0,9062,4364
4525,0.05350400134921074,Matmul([0; 3; 17191]),0,3,17191
4525,0.05407999828457832,Matmul([0; 29; 17193]),0,29,17193
4525,0.05407999828457832,Matmul([0; 52; 10750]),0,52,10750
4525,0.05407999828457832,Matmul([0; 75; 10752]),0,75,10752
4525,0.05407999828457832,Matmul([0; 98; 10754]),0,98,10754
4525,0.05407999828457832,Matmul([0; 121; 10756]),0,121,10756
4525,0.05532800033688545,Matmul([0; 144; 4524]),0,144,4524
4525,0.05532800033688545,Matmul([0; 167; 4529]),0,167,4529
4969,0.00002499999936844688,Concat([10; 192; 203; 509]),10,192,203,509
2531,0,Split([10; 2530]),10,2530
8415,0,Split([10; 7154]),10,7154
10,0,Num(1)
19464,0.8015679717063904,Matmul([0; 51; 11426]),0,51,11426
19464,0.7773119807243347,Matmul([0; 453; 11428]),0,453,11428
19464,0.7773119807243347,Matmul([0; 8735; 11430]),0,8735,11430
19464,0.7773119807243347,Matmul([0; 8821; 11432]),0,8821,11432
19464,0.7639679908752441,Matmul([0; 9062; 7184]),0,9062,7184
19464,0.7639679908752441,Matmul([0; 9110; 7189]),0,9110,7189
32305,0.5625920295715332,Matmul([0; 74; 32311]),0,74,32311
32305,0.5505920052528381,Matmul([0; 463; 32315]),0,463,32315
32305,0.5505920052528381,Matmul([0; 8741; 32317]),0,8741,32317
32305,0.5420160293579102,Matmul([0; 8835; 4299]),0,8835,4299
1231,0,Split([10; 1230]),10,1230
1414,0.00003199999991920777,Concat([10; 192; 51; 223]),10,192,51,223
32509,0.5523520112037659,Matmul([0; 120; 4344]),0,120,4344
30091,0.5523520112037659,Matmul([0; 120; 3849]),0,120,3849
40433,0.8015679717063904,Matmul([0; 120; 40435]),0,120,40435
40433,0.7639679908752441,Matmul([0; 483; 7034]),0,483,7034
10854,0.5625920295715332,Matmul([0; 74; 10856]),0,74,10856
10854,0.5505920052528381,Matmul([0; 463; 10858]),0,463,10858
10854,0.5505920052528381,Matmul([0; 8741; 10860]),0,8741,10860
10854,0.5420160293579102,Matmul([0; 8835; 4729]),0,8835,4729
10854,0.5420160293579102,Matmul([0; 9113; 4734]),0,9113,4734
2864,0.00002700000004551839,Concat([10; 192; 467; 283]),10,192,467,283
37489,0.8015679717063904,Matmul([0; 51; 37493]),0,51,37493
37489,0.7773119807243347,Matmul([0; 453; 37495]),0,453,37495
37489,0.7639679908752441,Matmul([0; 8735; 6369]),0,8735,6369
37373,0.7783359885215759,Matmul([0; 97; 6314]),0,97,6314
6066,0,Split([10; 6065]),10,6065
4035,0.035840000957250595,Matmul([0; 3; 30903]),0,3,30903
4035,0.03641600161790848,Matmul([0; 29; 30907]),0,29,30907
4035,0.03641600161790848,Matmul([0; 52; 30913]),0,52,30913
4035,0.03641600161790848,Matmul([0; 75; 30919]),0,75,30919
4035,0.03641600161790848,Matmul([0; 98; 30923]),0,98,30923
4035,0.03641600161790848,Matmul([0; 121; 30925]),0,121,30925
4035,0.0360959991812706,Matmul([0; 144; 4034]),0,144,4034
3061,0,Split([10; 3060]),10,3060
1990,0.05350400134921074,Matmul([0; 3; 26807]),0,3,26807
1990,0.05532800033688545,Matmul([0; 29; 1989]),0,29,1989
1579,0.00003199999991920777,Concat([10; 192; 54; 258]),10,192,54,258
4370,0.05350400134921074,Matmul([0; 3; 16907]),0,3,16907
4370,0.05407999828457832,Matmul([0; 29; 10686]),0,29,10686
4370,0.05407999828457832,Matmul([0; 52; 10688]),0,52,10688
4370,0.05407999828457832,Matmul([0; 75; 10690]),0,75,10690
4370,0.05407999828457832,Matmul([0; 98; 10692]),0,98,10692
4370,0.05532800033688545,Matmul([0; 121; 4369]),0,121,4369
4370,0.05532800033688545,Matmul([0; 144; 4374]),0,144,4374
5405,0.06892800331115723,Matmul([0; 3; 36463]),0,3,36463
5405,0.07011199742555618,Matmul([0; 29; 5404]),0,29,5404
7488,0,Split([10; 537]),10,537
2555,0.035840000957250595,Matmul([0; 3; 27225]),0,3,27225
2555,0.03641600161790848,Matmul([0; 29; 27227]),0,29,27227
2555,0.03641600161790848,Matmul([0; 52; 27229]),0,52,27229
2555,0.0360959991812706,Matmul([0; 75; 2554]),0,75,2554
4820,0.05350400134921074,Matmul([0; 3; 18103]),0,3,18103
4820,0.05407999828457832,Matmul([0; 29; 18105]),0,29,18105
4820,0.05407999828457832,Matmul([0; 52; 10902]),0,52,10902
4820,0.05407999828457832,Matmul([0; 75; 10904]),0,75,10904
4820,0.05407999828457832,Matmul([0; 98; 10906]),0,98,10906
4820,0.05407999828457832,Matmul([0; 121; 10908]),0,121,10908
4820,0.05532800033688545,Matmul([0; 144; 4819]),0,144,4819
4820,0.05532800033688545,Matmul([0; 167; 4824]),0,167,4824
4831,0,Split([10; 4830]),10,4830
5149,0.00002499999936844688,Concat([10; 192; 223; 519]),10,192,223,519
2776,0,Split([10; 2775]),10,2775
3125,0.05350400134921074,Matmul([0; 3; 28035]),0,3,28035
3125,0.05407999828457832,Matmul([0; 29; 28039]),0,29,28039
3125,0.05407999828457832,Matmul([0; 52; 28043]),0,52,28043
3125,0.05407999828457832,Matmul([0; 75; 28045]),0,75,28045
3125,0.05532800033688545,Matmul([0; 98; 3124]),0,98,3124
6376,0,Split([10; 6375]),10,6375
8961,0.40112000703811646,Matmul([0; 120; 569]),0,120,569
8961,0.3887999951839447,Matmul([0; 483; 383]),0,483,383
4919,0.00002499999936844688,Concat([10; 192; 198; 507]),10,192,198,507
28407,0.5625920295715332,Matmul([0; 28; 28411]),0,28,28411
28407,0.5505920052528381,Matmul([0; 443; 28415]),0,443,28415
28407,0.5505920052528381,Matmul([0; 8729; 28417]),0,8729,28417
28407,0.5420160293579102,Matmul([0; 8807; 3324]),0,8807,3324
457,0.23414400219917297,Matmul([0; 74; 82]),0,74,82
457,0,Split0(7485),7485
457,0,Split0(7488),7488
457,0,Split0(7492),7492
457,0,Split0(7496),7496
457,0,Split0(7500),7500
457,0,Split0(7504),7504
457,0,Split0(7508),7508
457,0,Split0(7512),7512
457,0,Split1(7452),7452
457,0,Split1(8482),8482
8585,0.46720001101493835,Matmul([0; 8459; 253]),0,8459,253
109,0.008895999751985073,Matmul([0; 103; 108]),0,103,108
280,0,Split([10; 279]),10,279
2121,0,Split([10; 2120]),10,2120
10112,0.5523520112037659,Matmul([0; 51; 2174]),0,51,2174
10112,0.5420160293579102,Matmul([0; 453; 2179]),0,453,2179
89,0.021344000473618507,Matmul([0; 3; 8803]),0,3,8803
89,0.02120400033891201,Matmul([0; 29; 8805]),0,29,8805
89,0.02120400033891201,Matmul([0; 52; 459]),0,52,459
89,0.021296000108122826,Matmul([0; 75; 88]),0,75,88
89,0,Split0(310),310
89,0,Split0(2401),2401
89,0,Split0(2406),2406
89,0,Split0(2411),2411
89,0,Split0(2416),2416
89,0,Split0(2421),2421
89,0,Split0(2426),2426
89,0,Split0(2431),2431
89,0,Split0(2436),2436
89,0,Split0(2441),2441
89,0,Split0(2446),2446
89,0,Split0(2451),2451
89,0,Split0(2461),2461
89,0,Split0(2471),2471
89,0,Split0(2481),2481
89,0,Split0(2491),2491
89,0,Split0(2501),2501
89,0,Split0(2511),2511
89,0,Split0(2516),2516
89,0,Split0(2521),2521
89,0,Split0(2526),2526
89,0,Split0(2531),2531
89,0,Split0(2536),2536
89,0,Split0(8486),8486
89,0,Split1(290),290
89,0,Split1(300),300
89,0,Split1(1526),1526
89,0,Split1(1676),1676
89,0,Split1(1821),1821
89,0,Split1(1961),1961
29797,0.5523520112037659,Matmul([0; 97; 3764]),0,97,3764
34753,0.5625920295715332,Matmul([0; 74; 34759]),0,74,34759
34753,0.5505920052528381,Matmul([0; 463; 34763]),0,463,34763
34753,0.5505920052528381,Matmul([0; 8741; 34765]),0,8741,34765
34753,0.5420160293579102,Matmul([0; 8835; 4659]),0,8835,4659
2166,0,Split([10; 2165]),10,2165
3175,0.05350400134921074,Matmul([0; 3; 28125]),0,3,28125
3175,0.05407999828457832,Matmul([0; 29; 28127]),0,29,28127
3175,0.05407999828457832,Matmul([0; 52; 28129]),0,52,28129
3175,0.05532800033688545,Matmul([0; 75; 3174]),0,75,3174
5681,0,Split([10; 5680]),10,5680
5935,0.06892800331115723,Matmul([0; 3; 36789]),0,3,36789
5935,0.0708480030298233,Matmul([0; 29; 36791]),0,29,36791
5935,0.0708480030298233,Matmul([0; 52; 36793]),0,52,36793
5935,0.07011199742555618,Matmul([0; 75; 5934]),0,75,5934
4030,0.035840000957250595,Matmul([0; 3; 30879]),0,3,30879
4030,0.03641600161790848,Matmul([0; 29; 30883]),0,29,30883
4030,0.03641600161790848,Matmul([0; 52; 30889]),0,52,30889
4030,0.03641600161790848,Matmul([0; 75; 30895]),0,75,30895
4030,0.03641600161790848,Matmul([0; 98; 30899]),0,98,30899
4030,0.03641600161790848,Matmul([0; 121; 30901]),0,121,30901
4030,0.0360959991812706,Matmul([0; 144; 4029]),0,144,4029
6296,0,Split([10; 6295]),10,6295
4689,0.5523520112037659,Matmul([0; 166; 4694]),0,166,4694
4689,0.00003199999991920777,Concat([10; 192; 499; 577]),10,192,499,577
4125,0.05350400134921074,Matmul([0; 3; 16683]),0,3,16683
4125,0.05407999828457832,Matmul([0; 29; 10622]),0,29,10622
4125,0.05407999828457832,Matmul([0; 52; 10624]),0,52,10624
4125,0.05407999828457832,Matmul([0; 75; 10626]),0,75,10626
4125,0.05407999828457832,Matmul([0; 98; 10628]),0,98,10628
4125,0.05532800033688545,Matmul([0; 121; 4124]),0,121,4124
4125,0.05532800033688545,Matmul([0; 144; 4129]),0,144,4129
4794,0.00003199999991920777,Concat([10; 192; 189; 408]),10,192,189,408
26679,0.5523520112037659,Matmul([0; 28; 1704]),0,28,1704
8859,0.23977600038051605,Matmul([0; 120; 8861]),0,120,8861
8859,0.23161600530147552,Matmul([0; 483; 499]),0,483,499
8859,0.22566400468349457,Matmul([0; 8753; 180]),0,8753,180
10812,0.5523520112037659,Matmul([0; 143; 4634]),0,143,4634
10812,0.5420160293579102,Matmul([0; 493; 4639]),0,493,4639
35691,0.5625920295715332,Matmul([0; 28; 35695]),0,28,35695
35691,0.5505920052528381,Matmul([0; 443; 35701]),0,443,35701
35691,0.5505920052528381,Matmul([0; 8729; 35707]),0,8729,35707
35691,0.5505920052528381,Matmul([0; 8807; 35711]),0,8807,35711
35691,0.5505920052528381,Matmul([0; 9023; 35713]),0,9023,35713
35691,0.5420160293579102,Matmul([0; 9059; 4774]),0,9059,4774
8019,0,Split([10; 4829]),10,4829
320,0,Split([10; 319]),10,319
5195,0.07017599791288376,Matmul([0; 3; 5194]),0,3,5194
5195,0.07011199742555618,Matmul([0; 29; 5199]),0,29,5199
26853,0.40112000703811646,Matmul([0; 28; 26855]),0,28,26855
26853,0.3935360014438629,Matmul([0; 443; 26857]),0,443,26857
26853,0.3887999951839447,Matmul([0; 8729; 2109]),0,8729,2109
4146,0,Split([10; 4145]),10,4145
891,0,Split([10; 890]),10,890
26711,0.5625920295715332,Matmul([0; 28; 26713]),0,28,26713
26711,0.5420160293579102,Matmul([0; 443; 1794]),0,443,1794
3135,0.035840000957250595,Matmul([0; 3; 28059]),0,3,28059
3135,0.03641600161790848,Matmul([0; 29; 28063]),0,29,28063
3135,0.03641600161790848,Matmul([0; 52; 28067]),0,52,28067
3135,0.03641600161790848,Matmul([0; 75; 28069]),0,75,28069
3135,0.0360959991812706,Matmul([0; 98; 3134]),0,98,3134
26931,0.5625920295715332,Matmul([0; 28; 26933]),0,28,26933
26931,0.5505920052528381,Matmul([0; 443; 26935]),0,443,26935
26931,0.5420160293579102,Matmul([0; 8729; 2214]),0,8729,2214
30927,0.40112000703811646,Matmul([0; 28; 30931]),0,28,30931
30927,0.3935360014438629,Matmul([0; 443; 30937]),0,443,30937
30927,0.3935360014438629,Matmul([0; 8729; 30943]),0,8729,30943
30927,0.3935360014438629,Matmul([0; 8807; 30947]),0,8807,30947
30927,0.3935360014438629,Matmul([0; 9023; 30949]),0,9023,30949
30927,0.3887999951839447,Matmul([0; 9059; 4039]),0,9059,4039
3994,0.000022000000171829015,Concat([10; 192; 146; 581]),10,192,146,581
33169,0.5625920295715332,Matmul([0; 74; 33175]),0,74,33175
33169,0.5505920052528381,Matmul([0; 463; 33179]),0,463,33179
33169,0.5505920052528381,Matmul([0; 8741; 33181]),0,8741,33181
33169,0.5420160293579102,Matmul([0; 8835; 4479]),0,8835,4479
10164,0.5523520112037659,Matmul([0; 51; 2479]),0,51,2479
10164,0.5420160293579102,Matmul([0; 453; 2484]),0,453,2484
11176,0.7783359885215759,Matmul([0; 97; 6564]),0,97,6564
11176,0.7639679908752441,Matmul([0; 473; 6569]),0,473,6569
2109,0.00003199999991920777,Concat([10; 192; 77; 467]),10,192,77,467
5434,0.7783359885215759,Matmul([0; 51; 5439]),0,51,5439
5434,0.000029000000722589903,Concat([10; 192; 517; 521]),10,192,517,521
10594,0.5625920295715332,Matmul([0; 97; 10596]),0,97,10596
10594,0.5420160293579102,Matmul([0; 473; 4084]),0,473,4084
10594,0.5420160293579102,Matmul([0; 8747; 4089]),0,8747,4089
11158,0.8015679717063904,Matmul([0; 74; 11160]),0,74,11160
11158,0.7639679908752441,Matmul([0; 463; 6514]),0,463,6514
11158,0.7639679908752441,Matmul([0; 8741; 6519]),0,8741,6519
3845,0.05350400134921074,Matmul([0; 3; 30057]),0,3,30057
3845,0.05407999828457832,Matmul([0; 29; 30061]),0,29,30061
3845,0.05407999828457832,Matmul([0; 52; 30067]),0,52,30067
3845,0.05407999828457832,Matmul([0; 75; 30071]),0,75,30071
3845,0.05407999828457832,Matmul([0; 98; 30073]),0,98,30073
3845,0.05532800033688545,Matmul([0; 121; 3844]),0,121,3844
8825,0.23977600038051605,Matmul([0; 97; 475]),0,97,475
8825,0.22566400468349457,Matmul([0; 473; 123]),0,473,123
1924,0.000022000000171829015,Concat([10; 192; 65; 531]),10,192,65,531
38581,0.8015679717063904,Matmul([0; 74; 38585]),0,74,38585
38581,0.7773119807243347,Matmul([0; 463; 38587]),0,463,38587
38581,0.7639679908752441,Matmul([0; 8741; 6694]),0,8741,6694
4564,0.00002700000004551839,Concat([10; 192; 497; 373]),10,192,497,373
4591,0,Split([10; 4590]),10,4590
1881,0,Split([10; 1880]),10,1880
27091,0.3963199853897095,Matmul([0; 74; 2399]),0,74,2399
3839,0.000022000000171829015,Concat([10; 192; 143; 569]),10,192,143,569
27083,0.5625920295715332,Matmul([0; 51; 27085]),0,51,27085
27083,0.5420160293579102,Matmul([0; 453; 2389]),0,453,2389
8573,0.46720001101493835,Matmul([0; 8442; 238]),0,8442,238
10258,0.5625920295715332,Matmul([0; 28; 10260]),0,28,10260
10258,0.5505920052528381,Matmul([0; 443; 10262]),0,443,10262
10258,0.5420160293579102,Matmul([0; 8729; 2934]),0,8729,2934
10258,0.5420160293579102,Matmul([0; 8807; 2939]),0,8807,2939
3770,0.05350400134921074,Matmul([0; 3; 10486]),0,3,10486
3770,0.05407999828457832,Matmul([0; 29; 10488]),0,29,10488
3770,0.05407999828457832,Matmul([0; 52; 10490]),0,52,10490
3770,0.05407999828457832,Matmul([0; 75; 10492]),0,75,10492
3770,0.05532800033688545,Matmul([0; 98; 3769]),0,98,3769
3770,0.05532800033688545,Matmul([0; 121; 3774]),0,121,3774
27201,0.5625920295715332,Matmul([0; 28; 27203]),0,28,27203
27201,0.5505920052528381,Matmul([0; 443; 27205]),0,443,27205
27201,0.5420160293579102,Matmul([0; 8729; 2534]),0,8729,2534
26531,0.3963199853897095,Matmul([0; 28; 1074]),0,28,1074
8512,0,Split([0; 8511]),0,8511
7075,0.06892800331115723,Matmul([0; 3; 18934]),0,3,18934
7075,0.0708480030298233,Matmul([0; 29; 18936]),0,29,18936
7075,0.0708480030298233,Matmul([0; 52; 11338]),0,52,11338
7075,0.0708480030298233,Matmul([0; 75; 11340]),0,75,11340
7075,0.0708480030298233,Matmul([0; 98; 11342]),0,98,11342
7075,0.0708480030298233,Matmul([0; 121; 11344]),0,121,11344
7075,0.07011199742555618,Matmul([0; 144; 7074]),0,144,7074
7075,0.07011199742555618,Matmul([0; 167; 7079]),0,167,7079
1754,0.5523520112037659,Matmul([0; 51; 1759]),0,51,1759
1754,0.00003199999991920777,Concat([10; 192; 447; 525]),10,192,447,525
6929,0.00002499999936844688,Concat([10; 192; 383; 579]),10,192,383,579
8861,0.23977600038051605,Matmul([0; 143; 499]),0,143,499
8861,0.22566400468349457,Matmul([0; 493; 180]),0,493,180
6635,0.06892800331115723,Matmul([0; 3; 11202]),0,3,11202
6635,0.0708480030298233,Matmul([0; 29; 11204]),0,29,11204
6635,0.0708480030298233,Matmul([0; 52; 11206]),0,52,11206
6635,0.0708480030298233,Matmul([0; 75; 11208]),0,75,11208
6635,0.07011199742555618,Matmul([0; 98; 6634]),0,98,6634
6635,0.07011199742555618,Matmul([0; 121; 6639]),0,121,6639
33155,0.5625920295715332,Matmul([0; 120; 33157]),0,120,33157
33155,0.5420160293579102,Matmul([0; 483; 4474]),0,483,4474
435,0.23414400219917297,Matmul([0; 28; 31]),0,28,31
435,0,Split0(7224),7224
435,0,Split0(7227),7227
435,0,Split0(7230),7230
435,0,Split0(7234),7234
435,0,Split0(7238),7238
435,0,Split0(7242),7242
435,0,Split0(7246),7246
435,0,Split0(7250),7250
435,0,Split0(7254),7254
435,0,Split1(8444),8444
30961,0.5625920295715332,Matmul([0; 74; 30965]),0,74,30965
30961,0.5505920052528381,Matmul([0; 463; 30967]),0,463,30967
30961,0.5420160293579102,Matmul([0; 8741; 4044]),0,8741,4044
6119,0.00003199999991920777,Concat([10; 192; 313; 333]),10,192,313,333
26789,0.3963199853897095,Matmul([0; 51; 1954]),0,51,1954
2529,0.000022000000171829015,Concat([10; 192; 88; 549]),10,192,88,549
4244,0.00003199999991920777,Concat([10; 192; 157; 383]),10,192,157,383
804,0.000022000000171829015,Concat([10; 192; 19; 507]),10,192,19,507
3914,0.00002700000004551839,Concat([10; 192; 485; 363]),10,192,485,363
8626,0,Split([0; 8625]),0,8625
6854,0.7783359885215759,Matmul([0; 143; 6859]),0,143,6859
6854,0.000029000000722589903,Concat([10; 192; 567; 575]),10,192,567,575
8901,0.40112000703811646,Matmul([0; 51; 539]),0,51,539
8901,0.3887999951839447,Matmul([0; 453; 308]),0,453,308
2430,0.05350400134921074,Matmul([0; 3; 27119]),0,3,27119
2430,0.05407999828457832,Matmul([0; 29; 27121]),0,29,27121
2430,0.05532800033688545,Matmul([0; 52; 2429]),0,52,2429
10816,0.5625920295715332,Matmul([0; 97; 10818]),0,97,10818
10816,0.5505920052528381,Matmul([0; 473; 10820]),0,473,10820
10816,0.5420160293579102,Matmul([0; 8747; 4644]),0,8747,4644
10816,0.5420160293579102,Matmul([0; 8849; 4649]),0,8849,4649
11240,0.7783359885215759,Matmul([0; 120; 6764]),0,120,6764
11240,0.7639679908752441,Matmul([0; 483; 6769]),0,483,6769
28795,0.3963199853897095,Matmul([0; 120; 3444]),0,120,3444
17769,0.5625920295715332,Matmul([0; 51; 10846]),0,51,10846
17769,0.5505920052528381,Matmul([0; 453; 10848]),0,453,10848
17769,0.5505920052528381,Matmul([0; 8735; 10850]),0,8735,10850
17769,0.5505920052528381,Matmul([0; 8821; 10852]),0,8821,10852
17769,0.5420160293579102,Matmul([0; 9062; 4719]),0,9062,4719
17769,0.5420160293579102,Matmul([0; 9110; 4724]),0,9110,4724
30135,0.40112000703811646,Matmul([0; 28; 30139]),0,28,30139
30135,0.3935360014438629,Matmul([0; 443; 30145]),0,443,30145
30135,0.3935360014438629,Matmul([0; 8729; 30151]),0,8729,30151
30135,0.3935360014438629,Matmul([0; 8807; 30155]),0,8807,30155
30135,0.3935360014438629,Matmul([0; 9023; 30157]),0,9023,30157
30135,0.3887999951839447,Matmul([0; 9059; 3879]),0,9059,3879
5225,0.06892800331115723,Matmul([0; 3; 36415]),0,3,36415
5225,0.07011199742555618,Matmul([0; 29; 5224]),0,29,5224
4875,0.07017599791288376,Matmul([0; 3; 4874]),0,3,4874
4674,0.00002700000004551839,Concat([10; 192; 499; 388]),10,192,499,388
6400,0.06892800331115723,Matmul([0; 3; 37557]),0,3,37557
6400,0.0708480030298233,Matmul([0; 29; 37561]),0,29,37561
6400,0.0708480030298233,Matmul([0; 52; 37565]),0,52,37565
6400,0.0708480030298233,Matmul([0; 75; 37567]),0,75,37567
6400,0.07011199742555618,Matmul([0; 98; 6399]),0,98,6399
37561,0.8015679717063904,Matmul([0; 51; 37565]),0,51,37565
37561,0.7773119807243347,Matmul([0; 453; 37567]),0,453,37567
37561,0.7639679908752441,Matmul([0; 8735; 6399]),0,8735,6399
583,0.3963199853897095,Matmul([0; 166; 418]),0,166,418
583,0.000018000000636675395,Concat([10; 192; 497; 499]),10,192,497,499
583,0,Split0(8431),8431
583,0,Split0(8435),8435
583,0,Split1(7930),7930
583,0,Split1(7960),7960
583,0,Split1(7987),7987
583,0,Split1(8011),8011
583,0,Split1(8391),8391
583,0,Split1(8407),8407
583,0,Split1(8419),8419
583,0,Split1(8718),8718
16739,0.5625920295715332,Matmul([0; 28; 10638]),0,28,10638
16739,0.5505920052528381,Matmul([0; 443; 10640]),0,443,10640
16739,0.5505920052528381,Matmul([0; 8729; 10642]),0,8729,10642
16739,0.5505920052528381,Matmul([0; 8807; 10644]),0,8807,10644
16739,0.5420160293579102,Matmul([0; 9023; 4229]),0,9023,4229
16739,0.5420160293579102,Matmul([0; 9059; 4234]),0,9059,4234
57,0,Transpose([56; 9; 10]),56,9,10
5056,0,Split([10; 5055]),10,5055
37177,0.8015679717063904,Matmul([0; 51; 37181]),0,51,37181
37177,0.7773119807243347,Matmul([0; 453; 37183]),0,453,37183
37177,0.7639679908752441,Matmul([0; 8735; 6214]),0,8735,6214
5960,0.06892800331115723,Matmul([0; 3; 36819]),0,3,36819
5960,0.0708480030298233,Matmul([0; 29; 36821]),0,29,36821
5960,0.0708480030298233,Matmul([0; 52; 36823]),0,52,36823
5960,0.07011199742555618,Matmul([0; 75; 5959]),0,75,5959
37299,0.8015679717063904,Matmul([0; 28; 37303]),0,28,37303
37299,0.7773119807243347,Matmul([0; 443; 37307]),0,443,37307
37299,0.7773119807243347,Matmul([0; 8729; 37309]),0,8729,37309
37299,0.7639679908752441,Matmul([0; 8807; 6279]),0,8807,6279
4596,0,Split([10; 4595]),10,4595
7204,0.7783359885215759,Matmul([0; 166; 7209]),0,166,7209
7204,0.000029000000722589903,Concat([10; 192; 583; 587]),10,192,583,587
8877,0.40112000703811646,Matmul([0; 28; 527]),0,28,527
8877,0.3887999951839447,Matmul([0; 443; 278]),0,443,278
8590,0,Split([0; 8589]),0,8589
29295,0.5625920295715332,Matmul([0; 28; 29299]),0,28,29299
29295,0.5505920052528381,Matmul([0; 443; 29303]),0,443,29303
29295,0.5505920052528381,Matmul([0; 8729; 29305]),0,8729,29305
29295,0.5420160293579102,Matmul([0; 8807; 3609]),0,8807,3609
32443,0.5625920295715332,Matmul([0; 51; 32449]),0,51,32449
32443,0.5505920052528381,Matmul([0; 453; 32453]),0,453,32453
32443,0.5505920052528381,Matmul([0; 8735; 32455]),0,8735,32455
32443,0.5420160293579102,Matmul([0; 8821; 4329]),0,8821,4329
2711,0,Split([10; 2710]),10,2710
18626,0.8015679717063904,Matmul([0; 28; 11250]),0,28,11250
18626,0.7773119807243347,Matmul([0; 443; 11252]),0,443,11252
18626,0.7773119807243347,Matmul([0; 8729; 11254]),0,8729,11254
18626,0.7773119807243347,Matmul([0; 8807; 11256]),0,8807,11256
18626,0.7639679908752441,Matmul([0; 9023; 6784]),0,9023,6784
18626,0.7639679908752441,Matmul([0; 9059; 6789]),0,9059,6789
27107,0.40112000703811646,Matmul([0; 51; 27109]),0,51,27109
27107,0.3887999951839447,Matmul([0; 453; 2414]),0,453,2414
3735,0.035840000957250595,Matmul([0; 3; 29709]),0,3,29709
3735,0.03641600161790848,Matmul([0; 29; 29713]),0,29,29713
3735,0.03641600161790848,Matmul([0; 52; 29719]),0,52,29719
3735,0.03641600161790848,Matmul([0; 75; 29723]),0,75,29723
3735,0.03641600161790848,Matmul([0; 98; 29725]),0,98,29725
3735,0.0360959991812706,Matmul([0; 121; 3734]),0,121,3734
36709,0.7783359885215759,Matmul([0; 74; 5829]),0,74,5829
40199,0.8015679717063904,Matmul([0; 120; 40201]),0,120,40201
40199,0.7639679908752441,Matmul([0; 483; 6989]),0,483,6989
10644,0.5523520112037659,Matmul([0; 120; 4229]),0,120,4229
10644,0.5420160293579102,Matmul([0; 483; 4234]),0,483,4234
3814,0.00003199999991920777,Concat([10; 192; 143; 363]),10,192,143,363
5614,0.00002499999936844688,Concat([10; 192; 263; 533]),10,192,263,533
